CustomerId,surname,middle,given,sex,age,bday,est_income
15566563,Duigan,A,Mary,Female,30,1987-05-22," PHP 16,000.00 "
15566594,McKenzie,T,Paul,Male,23,1994-05-07," PHP 93,000.00 "
15566633,Freeman,G,John,Male,55,1962-06-12," PHP 108,000.00 "
15566660,Cole,T,Nancy,Female,41,1976-05-19," PHP 38,000.00 "
15566708,Chidalu,Q,Mary,Female,45,1972-06-26," PHP 124,000.00 "
15566735,Obialo,G,Maria,Female,36,1981-06-20," PHP 104,000.00 "
15566740,Nazarova,B,Joseph,Male,51,1966-05-23," PHP 118,000.00 "
15566790,McIntyre,O,Paul,Male,28,1989-06-15," PHP 57,000.00 "
15566843,Gotch,P,Thomas,Male,20,1997-05-18," PHP 85,000.00 "
15566891,Kinder,M,Helen,Female,41,1976-06-20," PHP 156,000.00 "
15566894,Gray,B,Kenneth,Male,39,1978-06-16," PHP 58,000.00 "
15566958,Li Fonti,A,Thomas,Male,39,1978-06-26," PHP 47,000.00 "
15566988,Iqbal,S,Margaret,Female,46,1971-05-26," PHP 11,000.00 "
15567013,De Luca,J,Mark,Male,.,.," PHP 40,000.00 "
15567063,Manna,I,Patricia,Female,.,.," PHP 97,000.00 "
15567078,Kovaleva,P,Carol,Female,.,.," PHP 35,000.00 "
15567114,McGarry,S,John,Male,.,.," PHP 6,000.00 "
15567147,Ratten,M,Joseph,Male,.,.," PHP 53,000.00 "
15567246,Selwyn,S,Joseph,Male,.,.," PHP 91,000.00 "
15567328,Ch'en,L,Steven,Male,.,.," PHP 29,000.00 "
15567333,Archambault,G,Mary,Female,.,.," PHP 129,000.00 "
15567335,Allsop,Q,Patricia,Female,.,.," PHP 145,000.00 "
15567367,Tao,T,Ruth,Female,.,.," PHP 73,000.00 "
15567383,Slone,T,Susan,Female,.,.," PHP 38,000.00 "
15567399,Enderby,L,David,Male,.,.," PHP 130,000.00 "
15567422,Chiazagomekpele,C,George,Male,.,.," PHP 124,000.00 "
15567437,Emenike,H,Linda,Female,.,.," PHP 41,000.00 "
15567446,Coffman,I,John,Male,.,.," PHP 35,000.00 "
15567486,Li,K,Sandra,Female,.,.," PHP 132,000.00 "
15567506,Cheatham,J,Susan,Female,.,.," PHP 158,000.00 "
15567557,Chien,B,Robert,Male,.,.," PHP 20,000.00 "
15567630,Bruce,I,Brian,Male,.,.," PHP 96,000.00 "
15567725,Kodilinyechukwu,L,Sharon,Female,.,.," PHP 42,000.00 "
15567778,Genovese,E,Helen,Female,.,.," PHP 70,000.00 "
15567802,Childs,J,Dorothy,Female,.,.," PHP 138,000.00 "
15567832,Shih,D,Barbara,Female,.,.," PHP 20,000.00 "
15567834,Nieves,M,Paul,Male,.,.," PHP 27,000.00 "
15567839,Gordon,B,Christopher,Male,.,.," PHP 53,000.00 "
15567855,Chukwufumnanya,F,Patricia,Female,.,.," PHP 45,000.00 "
15567860,Burrows,E,Elizabeth,Female,.,.," PHP 55,000.00 "
15567893,Lei,F,Steven,Male,.,.," PHP 21,000.00 "
15567897,Chiazagomekpere,K,Charles,Male,.,.," PHP 96,000.00 "
15567919,Lazarev,M,Robert,Male,37,1980-05-18," PHP 68,000.00 "
15567923,Barese,K,Betty,Female,30,1987-06-18," PHP 98,000.00 "
15567980,Frater,M,Karen,Female,46,1971-06-01," PHP 105,000.00 "
15567991,Obiuto,C,Joseph,Male,31,1986-05-16," PHP 160,000.00 "
15567993,Palmer,Q,Joseph,Male,28,1989-06-24," PHP 55,000.00 "
15568006,Ukaegbunam,K,Barbara,Female,45,1972-05-26," PHP 78,000.00 "
15568025,Hsueh,Q,Richard,Male,51,1966-06-14," PHP 91,000.00 "
15568032,Moore,O,Edward,Male,31,1986-05-08," PHP 118,000.00 "
15568044,Butusov,T,Donna,Female,31,1986-06-13," PHP 17,000.00 "
15568046,Izuchukwu,P,Richard,Male,24,1993-05-05," PHP 160,000.00 "
15568088,Jamieson,N,Thomas,Male,44,1973-06-18," PHP 57,000.00 "
15568104,Zubarev,L,Barbara,Female,26,1991-05-08," PHP 35,000.00 "
15568106,L?,A,Patricia,Female,38,1979-06-08," PHP 27,000.00 "
15568120,Lacross,G,Mary,Female,37,1980-05-24," PHP 46,000.00 "
15568162,Sung,M,Thomas,Male,53,1964-06-11," PHP 15,000.00 "
15568164,Istomin,K,Linda,Female,34,1983-06-08," PHP 119,000.00 "
15568238,Diaz,L,Mark,Male,20,1997-06-10," PHP 68,000.00 "
15568240,Ting,A,Betty,Female,30,1987-05-27," PHP 126,000.00 "
15568326,Kenenna,K,Jennifer,Female,44,1973-05-15," PHP 106,000.00 "
15568328,Black,E,Sandra,Female,22,1995-06-15," PHP 46,000.00 "
15568360,Rolon,C,Nancy,Female,41,1976-06-22," PHP 116,000.00 "
15568429,Mitchell,G,Sharon,Female,46,1971-06-12," PHP 85,000.00 "
15568449,Fu,I,David,Male,38,1979-05-23," PHP 25,000.00 "
15568469,Buckley,S,James,Male,43,1974-06-21," PHP 36,000.00 "
15568487,Gorshkov,J,Brian,Male,35,1982-06-04," PHP 37,000.00 "
15568506,Forbes,E,Betty,Female,31,1986-06-18," PHP 121,000.00 "
15568519,Wood,J,Edward,Male,41,1976-06-18," PHP 16,000.00 "
15568562,Moss,M,James,Male,40,1977-05-10," PHP 58,000.00 "
15568573,Graham,C,Ruth,Female,51,1966-05-26," PHP 146,000.00 "
15568742,Parkes,S,Helen,Female,41,1976-05-31," PHP 88,000.00 "
15568748,Poole,P,Steven,Male,45,1972-05-26," PHP 78,000.00 "
15568819,Chiganu,E,Linda,Female,42,1975-06-25," PHP 162,000.00 "
15568834,Howells,G,Daniel,Male,27,1990-06-05," PHP 40,000.00 "
15568849,Bryan,R,Dorothy,Female,31,1986-06-08," PHP 121,000.00 "
15568876,Hughes,M,Margaret,Female,34,1983-05-10," PHP 149,000.00 "
15568878,Cheng,C,William,Male,34,1983-06-03," PHP 116,000.00 "
15568885,Scott,A,Mary,Female,34,1983-05-21," PHP 81,000.00 "
15568904,Kruglova,M,Charles,Male,34,1983-05-22," PHP 47,000.00 "
15568915,Bailey,E,Christopher,Male,38,1979-06-24," PHP 63,000.00 "
15568953,Alexeieva,C,Robert,Male,27,1990-06-22," PHP 86,000.00 "
15568963,Naquin,R,Paul,Male,34,1983-06-18," PHP 146,000.00 "
15568982,Hao,G,Margaret,Female,24,1993-06-20," PHP 23,000.00 "
15568982,Hao,G,Margaret,Female,24,1993-06-20," PHP 23,000.00 "
15569050,Farrell,T,David,Male,45,1972-06-12," PHP 95,000.00 "
15569079,Hagins,N,Joseph,Male,48,1969-05-24," PHP 29,000.00 "
15569098,Winifred,E,William,Male,44,1973-06-24," PHP 47,000.00 "
15569120,Lucas,A,Daniel,Male,30,1987-05-11," PHP 124,000.00 "
15569178,Kharlamov,L,Betty,Female,18,1999-05-13," PHP 32,000.00 "
15569187,Fleming,N,William,Male,35,1982-05-16," PHP 103,000.00 "
15569209,Amaechi,P,Dorothy,Female,34,1983-05-31," PHP 138,000.00 "
15569222,Mendes,F,Kenneth,Male,32,1985-06-02," PHP 49,000.00 "
15569247,Mitchell,O,Linda,Female,57,1960-05-20," PHP 6,000.00 "
15569248,Milanesi,E,Jennifer,Female,43,1974-06-21," PHP 124,000.00 "
15569249,Howarth,T,Karen,Female,55,1962-06-24," PHP 50,000.00 "
15569264,Yobanna,N,Robert,Male,32,1985-06-12," PHP 105,000.00 "
15569266,Rahman,P,Christopher,Male,28,1989-06-07," PHP 36,000.00 "
15569274,Pisano,F,Joseph,Male,49,1968-05-28," PHP 180,000.00 "
15569364,Victor,R,Charles,Male,36,1981-06-06," PHP 49,000.00 "
15569394,Bailey,L,Donald,Male,24,1993-05-29," PHP 149,000.00 "
15569410,Tang,S,Karen,Female,33,1984-06-12," PHP 116,000.00 "
15569423,Cunningham,H,Kenneth,Male,41,1976-06-18," PHP 25,000.00 "
15569430,Burrows,J,Mary,Female,36,1981-06-14," PHP 120,000.00 "
15569432,Macleod,N,Barbara,Female,48,1969-06-23," PHP 60,000.00 "
15569438,Mai,B,Kenneth,Male,36,1981-06-27," PHP 171,000.00 "
15569446,Tu,I,Nancy,Female,34,1983-06-03," PHP 165,000.00 "
15569451,Miller,P,Charles,Male,35,1982-05-14," PHP 80,000.00 "
15569452,Butler,F,Sandra,Female,58,1959-05-31," PHP 155,000.00 "
15569503,Yeh,S,James,Male,44,1973-05-29," PHP 119,000.00 "
15569526,Morales,T,Michael,Male,40,1977-05-31," PHP 44,000.00 "
15569571,Davydova,M,Linda,Female,46,1971-05-11," PHP 94,000.00 "
15569572,Sopuluchi,L,Steven,Male,42,1975-06-08," PHP 81,000.00 "
15569590,Yoo,K,Daniel,Male,42,1975-05-26," PHP 49,000.00 "
15569595,Walker,E,Maria,Female,50,1967-06-14," PHP 16,000.00 "
15569624,Feng,G,Jennifer,Female,31,1986-05-20," PHP 113,000.00 "
15569626,Miller,M,David,Male,35,1982-05-16," PHP 84,000.00 "
15569641,Sung,A,Susan,Female,41,1976-05-26," PHP 19,000.00 "
15569654,Munro,D,Nancy,Female,31,1986-05-19," PHP 47,000.00 "
15569666,Goddard,A,Ruth,Female,45,1972-06-26," PHP 146,000.00 "
15569670,Alexeyeva,P,Steven,Male,30,1987-05-20," PHP 77,000.00 "
15569678,Cocci,L,James,Male,32,1985-06-03," PHP 95,000.00 "
15569682,Leckie,B,Kenneth,Male,37,1980-05-25," PHP 47,000.00 "
15569759,Rawling,S,Maria,Female,27,1990-06-19," PHP 124,000.00 "
15569764,Garner,G,Karen,Female,41,1976-05-31," PHP 135,000.00 "
15569807,Ejimofor,C,Susan,Female,34,1983-06-04," PHP 30,000.00 "
15569867,Chinweuba,G,Sandra,Female,29,1988-05-08," PHP 30,000.00 "
15569878,Dale,E,Paul,Male,37,1980-06-14," PHP 7,000.00 "
15569892,Johnstone,T,Kenneth,Male,35,1982-06-04," PHP 72,000.00 "
15569917,Obijiaku,N,David,Male,30,1987-06-17," PHP 116,000.00 "
15569945,Horsley,R,Joseph,Male,29,1988-05-06," PHP 27,000.00 "
15570002,Burlingame,N,Sharon,Female,55,1962-05-29," PHP 116,000.00 "
15570004,Tsou,I,Richard,Male,31,1986-05-10," PHP 93,000.00 "
15570051,Gill,M,Elizabeth,Female,38,1979-05-09," PHP 105,000.00 "
15570060,Palerma,C,Sharon,Female,43,1974-06-24," PHP 31,000.00 "
15570073,Marian,K,Brian,Male,57,1960-06-15," PHP 175,000.00 "
15570086,Lynch,D,Charles,Male,18,1999-06-06," PHP 7,000.00 "
15570087,Parry-Okeden,R,Barbara,Female,44,1973-05-28," PHP 84,000.00 "
15570134,Padovano,K,Mary,Female,35,1982-06-18," PHP 49,000.00 "
15570141,P'eng,A,Susan,Female,34,1983-06-10," PHP 47,000.00 "
15570145,Long,D,Jennifer,Female,23,1994-06-13," PHP 130,000.00 "
15570192,Henry,A,Helen,Female,40,1977-06-16," PHP 23,000.00 "
15570194,Ikemefuna,F,Joseph,Male,29,1988-06-04," PHP 17,000.00 "
15570205,Tao,C,John,Male,36,1981-06-14," PHP 111,000.00 "
15570271,Wan,P,Paul,Male,31,1986-06-17," PHP 174,000.00 "
15570289,Benson,J,Michael,Male,43,1974-06-23," PHP 35,000.00 "
15570299,Martin,P,Sandra,Female,31,1986-05-07," PHP 75,000.00 "
15570326,Wilkins,F,James,Male,34,1983-06-07," PHP 74,000.00 "
15570360,Wan,P,Ruth,Female,35,1982-06-26," PHP 98,000.00 "
15570379,Whitelegge,D,Joseph,Male,51,1966-05-15," PHP 66,000.00 "
15570414,Chizoba,H,George,Male,41,1976-06-20," PHP 119,000.00 "
15570417,Chien,P,Donald,Male,35,1982-06-21," PHP 6,000.00 "
15570485,Udegbunam,O,Michael,Male,40,1977-06-06," PHP 50,000.00 "
15570508,Azubuike,J,David,Male,49,1968-06-03," PHP 58,000.00 "
15570533,Conti,A,Carol,Female,55,1962-06-28," PHP 44,000.00 "
15570601,Cheng,N,Karen,Female,47,1970-05-19," PHP 35,000.00 "
15570681,Chiang,G,Christopher,Male,24,1993-06-11," PHP 51,000.00 "
15570835,Fallaci,F,Helen,Female,57,1960-05-13," PHP 48,000.00 "
15570855,Leonard,E,John,Male,38,1979-05-17," PHP 35,000.00 "
15570857,Kambinachi,F,Sandra,Female,39,1978-06-27," PHP 106,000.00 "
15570859,Froggatt,N,Brian,Male,36,1981-06-25," PHP 37,000.00 "
15570895,Ch'in,I,James,Male,42,1975-05-30," PHP 48,000.00 "
15570908,Harding,O,Carol,Female,29,1988-06-25," PHP 75,000.00 "
15570912,Ogbonnaya,D,Lisa,Female,32,1985-05-28," PHP 128,000.00 "
15570931,Grant,D,Mark,Male,61,1956-06-12," PHP 38,000.00 "
15570932,Pirozzi,K,Charles,Male,43,1974-06-24," PHP 92,000.00 "
15570943,Artemyeva,B,Elizabeth,Female,35,1982-06-04," PHP 89,000.00 "
15570947,Bruny,J,Patricia,Female,29,1988-05-06," PHP 96,000.00 "
15570970,Han,R,Carol,Female,42,1975-06-22," PHP 14,000.00 "
15570990,Begley,T,Maria,Female,30,1987-06-21," PHP 126,000.00 "
15571002,Yusupov,M,Barbara,Female,44,1973-06-12," PHP 46,000.00 "
15571059,Martin,P,Mary,Female,54,1963-05-17," PHP 86,000.00 "
15571065,Lehr,N,Helen,Female,39,1978-06-24," PHP 46,000.00 "
15571081,Hansen,S,Sandra,Female,41,1976-06-16," PHP 26,000.00 "
15571121,Kodilinyechukwu,E,Dorothy,Female,50,1967-06-15," PHP 7,000.00 "
15571144,Ives,E,Mark,Male,28,1989-05-24," PHP 109,000.00 "
15571148,Baranov,J,Linda,Female,21,1996-05-13," PHP 36,000.00 "
15571193,Morrison,I,Christopher,Male,42,1975-05-13," PHP 25,000.00 "
15571221,Bergamaschi,O,Paul,Male,58,1959-05-16," PHP 159,000.00 "
15571244,Tung,M,Susan,Female,33,1984-05-10," PHP 102,000.00 "
15571261,Toscani,B,Sandra,Female,35,1982-06-12," PHP 29,000.00 "
15571281,Ts'ao,T,Michael,Male,28,1989-05-08," PHP 39,000.00 "
15571284,Elmore,G,Brian,Male,32,1985-06-15," PHP 32,000.00 "
15571305,Stephenson,R,Lisa,Female,35,1982-05-26," PHP 150,000.00 "
15571415,Okwudiliolisa,J,Edward,Male,56,1961-05-23," PHP 60,000.00 "
15571476,Kelly,M,Paul,Male,38,1979-05-18," PHP 127,000.00 "
15571529,Kirby,J,Sandra,Female,48,1969-05-18," PHP 20,000.00 "
15571550,Dore,K,William,Male,39,1978-06-24," PHP 60,000.00 "
15571571,Ting,I,Mary,Female,31,1986-05-22," PHP 141,000.00 "
15571586,Briggs,J,Robert,Male,29,1988-06-19," PHP 5,000.00 "
15571666,Shaw,N,Paul,Male,30,1987-06-17," PHP 46,000.00 "
15571689,Kelechi,F,Betty,Female,37,1980-06-05," PHP 39,000.00 "
15571752,Romani,R,Ruth,Female,32,1985-06-25," PHP 48,000.00 "
15571756,Ohearn,E,Patricia,Female,28,1989-05-18," PHP 35,000.00 "
15571778,Trentini,S,Susan,Female,55,1962-06-09," PHP 72,000.00 "
15571843,Lawrence,G,Joseph,Male,24,1993-06-11," PHP 65,000.00 "
15571869,Lei,L,Margaret,Female,50,1967-05-12," PHP 150,000.00 "
15571873,Sung,B,John,Male,24,1993-06-22," PHP 16,000.00 "
15571917,Eluemuno,D,Mary,Female,38,1979-06-11," PHP 37,000.00 "
15571928,Fraser,L,Betty,Female,43,1974-06-09," PHP 99,000.00 "
15571940,Afamefula,T,Edward,Male,22,1995-05-14," PHP 56,000.00 "
15571958,McIntosh,I,Brian,Male,40,1977-06-13," PHP 137,000.00 "
15571973,Chinwemma,C,Dorothy,Female,38,1979-06-01," PHP 138,000.00 "
15571995,Harper,P,Barbara,Female,33,1984-05-17," PHP 38,000.00 "
15572021,Ts'ao,R,Nancy,Female,29,1988-05-15," PHP 38,000.00 "
15572022,Han,T,Sharon,Female,36,1981-06-17," PHP 7,000.00 "
15572038,Chijindum,A,Robert,Male,35,1982-05-09," PHP 145,000.00 "
15572050,Yefimov,C,John,Male,48,1969-06-01," PHP 30,000.00 "
15572051,Kennedy,C,Thomas,Male,40,1977-06-03," PHP 97,000.00 "
15572073,Yao,C,Donald,Male,35,1982-06-21," PHP 29,000.00 "
15572093,Han,G,Betty,Female,24,1993-05-09," PHP 85,000.00 "
15572114,Shih,N,Mark,Male,40,1977-05-15," PHP 8,000.00 "
15572145,Ashton,R,Helen,Female,34,1983-05-24," PHP 62,000.00 "
15572158,Blackburn,A,Charles,Male,41,1976-06-03," PHP 20,000.00 "
15572174,Mazzi,S,Daniel,Male,29,1988-06-12," PHP 27,000.00 "
15572182,Onwuamaeze,Q,Margaret,Female,33,1984-06-25," PHP 60,000.00 "
15572265,Wu,P,Michael,Male,46,1971-05-22," PHP 58,000.00 "
15572291,Kao,I,James,Male,40,1977-05-28," PHP 90,000.00 "
15572294,Kelly,T,Steven,Male,28,1989-05-27," PHP 110,000.00 "
15572360,Clark,N,Thomas,Male,30,1987-05-18," PHP 37,000.00 "
15572361,Chill,F,Donna,Female,34,1983-06-10," PHP 176,000.00 "
15572374,Hopetoun,K,Kenneth,Male,36,1981-06-27,.
15572390,Huang,B,Betty,Female,39,1978-06-17," PHP 66,000.00 "
15572398,Townsend,O,Sharon,Female,39,1978-06-07," PHP 123,000.00 "
15572408,Chambers,M,David,Male,39,1978-05-31," PHP 24,000.00 "
15572415,Preston,S,Daniel,Male,34,1983-05-27," PHP 128,000.00 "
15572428,Rieke,P,Sandra,Female,33,1984-05-15," PHP 44,000.00 "
15572461,Kung,B,Donna,Female,29,1988-06-15," PHP 27,000.00 "
15572467,Chandler,N,Michael,Male,37,1980-05-25," PHP 85,000.00 "
15572547,Vaguine,T,Mary,Female,45,1972-05-10," PHP 126,000.00 "
15572626,Mackenzie,K,Thomas,Male,44,1973-06-07," PHP 30,000.00 "
15572631,Ndubuisi,G,Joseph,Male,25,1992-06-06," PHP 67,000.00 "
15572657,H?,A,David,Male,29,1988-05-28," PHP 154,000.00 "
15572706,Smith,C,Mark,Male,37,1980-05-17," PHP 29,000.00 "
15572728,Ross,M,John,Male,36,1981-06-10," PHP 105,000.00 "
15572735,Chang,N,Michael,Male,27,1990-05-07," PHP 126,000.00 "
15572762,Matveyeva,S,Dorothy,Female,50,1967-06-08," PHP 68,000.00 "
15572767,Shelby,A,Michael,Male,29,1988-05-18," PHP 75,000.00 "
15572777,Meng,J,Mark,Male,47,1970-06-24," PHP 48,000.00 "
15572792,Bellucci,I,Donald,Male,35,1982-06-06," PHP 120,000.00 "
15572801,Krischock,C,Richard,Male,34,1983-06-25," PHP 36,000.00 "
15572956,Steen,D,George,Male,36,1981-06-03," PHP 85,000.00 "
15573045,Earl,O,Charles,Male,62,1955-07-02," PHP 68,000.00 "
15573077,Nwora,Q,Lisa,Female,25,1992-06-21," PHP 44,000.00 "
15573086,Millar,B,Daniel,Male,42,1975-06-09," PHP 48,000.00 "
15573112,Kang,K,Daniel,Male,29,1988-05-31," PHP 116,000.00 "
15573152,Glassman,H,Patricia,Female,41,1976-05-15," PHP 57,000.00 "
15573242,Greene,G,John,Male,50,1967-06-12," PHP 10,000.00 "
15573278,Kennedy,T,Michael,Male,39,1978-06-21," PHP 48,000.00 "
15573280,Gallagher,Q,Richard,Male,50,1967-05-15," PHP 40,000.00 "
15573284,Olisanugo,F,Barbara,Female,45,1972-06-03," PHP 17,000.00 "
15573309,Ward,B,Sharon,Female,48,1969-06-26," PHP 77,000.00 "
15573318,Kung,F,William,Male,26,1991-05-19," PHP 137,000.00 "
15573319,Azubuike,J,Sharon,Female,35,1982-05-30," PHP 167,000.00 "
15573348,Maclean,D,George,Male,35,1982-05-08," PHP 9,000.00 "
15573452,Manning,R,Richard,Male,42,1975-06-08," PHP 30,000.00 "
15573456,Cunningham,I,Steven,Male,46,1971-05-28," PHP 57,000.00 "
15573520,Rhodes,P,Steven,Male,49,1968-05-31," PHP 73,000.00 "
15573599,Adamson,M,Carol,Female,57,1960-05-17," PHP 165,000.00 "
15573628,Greene,O,Ruth,Female,51,1966-06-21," PHP 120,000.00 "
15573730,Thompson,T,James,Male,42,1975-06-09," PHP 45,000.00 "
15573741,Aliyeva,N,Charles,Male,38,1979-06-09," PHP 88,000.00 "
15573769,Fiorentini,N,Ruth,Female,24,1993-05-10," PHP 168,000.00 "
15573798,Yermolayev,C,Lisa,Female,36,1981-05-31," PHP 46,000.00 "
15573851,Macrossan,C,Jennifer,Female,38,1979-06-21," PHP 56,000.00 "
15573854,Chukwujekwu,J,Daniel,Male,,," PHP 47,000.00 "
15573876,Chia,G,John,Male,48,1969-06-06," PHP 28,000.00 "
15573888,Ponomaryov,B,Sharon,Female,43,1974-05-22," PHP 152,000.00 "
15573893,Barry,D,Mark,Male,25,1992-05-28," PHP 49,000.00 "
15573926,Lung,O,David,Male,38,1979-06-27," PHP 63,000.00 "
15573971,Mills,P,George,Male,44,1973-06-17," PHP 15,000.00 "
15574004,Mancini,O,Helen,Female,27,1990-05-18," PHP 30,000.00 "
15574012,Chu,R,George,Male,44,1973-05-17," PHP 126,000.00 "
15574068,Norman,L,David,Male,56,1961-06-19," PHP 34,000.00 "
15574071,Muravyova,G,William,Male,23,1994-05-13," PHP 95,000.00 "
15574072,Ch'ien,N,Lisa,Female,62,1955-06-20," PHP 139,000.00 "
15574115,Shaw,H,Susan,Female,41,1976-05-29," PHP 47,000.00 "
15574122,Tien,N,Richard,Male,34,1983-05-26," PHP 146,000.00 "
15574137,Ch'in,P,Richard,Male,35,1982-05-08," PHP 158,000.00 "
15574142,Chuang,D,Mary,Female,28,1989-05-20," PHP 15,000.00 "
15574167,Fox,B,Christopher,Male,33,1984-05-27," PHP 129,000.00 "
15574169,Trevisano,K,Susan,Female,32,1985-05-07," PHP 7,000.00 "
15574206,Shillito,D,Carol,Female,37,1980-05-20," PHP 39,000.00 "
15574213,Wilson,D,Maria,Female,53,1964-05-12," PHP 17,000.00 "
15574237,Hsueh,C,Sandra,Female,21,1996-05-24," PHP 79,000.00 "
15574283,Padovano,T,George,Male,31,1986-06-07," PHP 32,000.00 "
15574296,Kambinachi,Q,Daniel,Male,23,1994-06-04," PHP 49,000.00 "
15574305,T'ang,T,Daniel,Male,36,1981-06-19," PHP 19,000.00 "
15574324,Genovese,S,Linda,Female,29,1988-06-25," PHP 66,000.00 "
15574331,Alexeeva,I,Donna,Female,62,1955-05-20," PHP 27,000.00 "
15574352,Clogstoun,Q,John,Male,43,1974-05-14," PHP 109,000.00 "
15574369,Bianchi,K,Steven,Male,53,1964-05-12," PHP 30,000.00 "
15574372,Hoolan,R,Steven,Male,35,1982-05-24," PHP 140,000.00 "
15574480,Ubanwa,H,James,Male,31,1986-06-22," PHP 117,000.00 "
15574523,Cheng,L,Charles,Male,39,1978-06-22,.
15574558,Gunter,F,Donald,Male,32,1985-05-14," PHP 47,000.00 "
15574584,Fang,B,Michael,Male,33,1984-05-26," PHP 46,000.00 "
15574608,Sidorova,A,Mark,Male,36,1981-05-10," PHP 108,000.00 "
15574692,Pinto,L,Patricia,Female,39,1978-05-31," PHP 45,000.00 "
15574743,Chiu,E,Mark,Male,29,1988-06-06," PHP 147,000.00 "
15574761,Lynch,S,Linda,Female,41,1976-05-28," PHP 145,000.00 "
15574783,Perkins,M,Dorothy,Female,37,1980-05-08," PHP 142,000.00 "
15574795,Lombardo,R,Margaret,Female,38,1979-05-29," PHP 59,000.00 "
15574830,Townsley,P,Christopher,Male,58,1959-05-23," PHP 125,000.00 "
15574842,Lorenzo,P,Susan,Female,25,1992-05-19," PHP 158,000.00 "
15574858,Page,C,Mark,Male,37,1980-05-29," PHP 5,000.00 "
15574868,Lowell,I,Brian,Male,36,1981-05-24," PHP 5,000.00 "
15574879,Wright,J,Margaret,Female,37,1980-06-12," PHP 26,000.00 "
15574886,Palerma,D,George,Male,32,1985-05-27," PHP 119,000.00 "
15574910,Ferguson,E,Donald,Male,50,1967-05-14," PHP 162,000.00 "
15574947,Cartwright,M,Brian,Male,36,1981-05-20," PHP 30,000.00 "
15575002,Ferguson,O,Joseph,Male,29,1988-06-09," PHP 46,000.00 "
15575024,Uwaezuoke,M,Steven,Male,29,1988-06-13," PHP 95,000.00 "
15575060,Gardner,S,Paul,Male,24,1993-05-20," PHP 146,000.00 "
15575146,Jamieson,N,Donald,Male,51,1966-05-16," PHP 33,000.00 "
15575147,Wall,G,Robert,Male,22,1995-05-26," PHP 41,000.00 "
15575185,Bushell,K,Robert,Male,33,1984-06-15," PHP 153,000.00 "
15575214,Ch'en,F,Mark,Male,37,1980-05-19," PHP 120,000.00 "
15575243,Gorbunova,F,Mary,Female,39,1978-06-20," PHP 147,000.00 "
15575247,Cartwright,C,Christopher,Male,30,1987-05-12," PHP 96,000.00 "
15575391,Claypool,P,Ruth,Female,37,1980-06-11," PHP 50,000.00 "
15575399,Somadina,N,Sharon,Female,42,1975-06-26," PHP 56,000.00 "
15575409,Rozhkova,P,David,Male,31,1986-05-20," PHP 84,000.00 "
15575410,Chidiegwu,K,Dorothy,Female,39,1978-06-12," PHP 86,000.00 "
15575417,Chou,E,Brian,Male,37,1980-05-27," PHP 27,000.00 "
15575428,Mistry,G,Ruth,Female,35,1982-05-18," PHP 26,000.00 "
15575430,Robson,H,Susan,Female,33,1984-05-14," PHP 123,000.00 "
15575438,Pease,A,Michael,Male,42,1975-06-03," PHP 45,000.00 "
